miRNA	CD56_S4	CD14_S2	CD4_S4	CD14_S1	CD56_S1	CD19_S4	CD19_S3	CD19_S1	CD4_S3	CD14_S4	CD56_S3	CD56_S2	CD4_S1	CD19_S2	CD4_S2	CD14_S3
hsa-miR-4284	41	70	55	29	94	56	50	119	75	51	49	173	76	175	124	30
hsa-miR-4695-3p	4	6	4	3	14	3	1	11	4	6	2	30	3	16	7	4
hsa-miR-4685-3p	2	3	2	1	2	1	0	6	2	4	2	10	2	3	3	3
hsa-miR-642a-5p	151	2	52	1	151	22	33	6	35	13	65	396	48	43	130	8
hsa-miR-6792-3p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-345-5p	250	4414	1006	2784	693	152	172	118	79	5876	450	824	236	188	69	5762
hsa-miR-558	1	1	1	0	3	0	1	0	0	3	0	0	1	0	0	1
hsa-miR-1200	0	0	0	0	0	0	3	1	0	1	2	3	1	0	0	0
hsa-miR-6791-3p	0	2	0	1	1	0	0	0	0	2	0	1	0	0	0	0
hsa-miR-6845-3p	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-6749-3p	1	0	0	1	0	0	0	1	0	1	1	1	0	0	0	0
hsa-miR-501-5p	9	97	28	46	30	8	16	14	20	88	23	37	14	21	13	72
hsa-miR-10399-3p	1188	1968	923	2148	1038	443	840	586	706	3389	1146	1279	902	239	589	3407
hsa-miR-378i	1	2	1	7	0	2	5	2	1	6	1	3	3	0	0	13
hsa-miR-5089-3p	1	1	0	3	3	1	2	2	2	2	3	2	0	1	0	2
hsa-miR-4674	1	1	0	3	1	0	0	4	1	4	2	2	2	2	0	6
hsa-miR-887-5p	1	0	1	0	0	0	0	0	0	6	0	0	1	0	0	1
hsa-miR-486-3p	176	57	46	33	35	125	938	207	93	41	23	132	67	539	43	106
hsa-miR-6744-5p	1	3	2	4	2	0	0	3	4	6	2	3	1	0	2	11
hsa-miR-10396a-3p	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0
hsa-miR-320c	69	114	75	56	68	53	58	90	69	137	91	123	85	71	97	110
hsa-miR-1307-3p	2219	2584	1744	1395	2408	1311	1491	1320	1373	4908	2176	1952	2290	526	434	5977
hsa-miR-3917	14	5	16	9	11	7	12	24	16	20	20	27	5	14	11	7
hsa-miR-1469	2	3	1	6	4	4	0	5	4	0	3	5	1	3	2	8
hsa-miR-572	1	0	0	1	2	1	0	1	0	1	1	1	1	0	0	0
hsa-miR-4638-5p	1	4	4	10	8	1	5	4	4	6	14	7	8	3	7	7
hsa-miR-668-3p	0	1	2	3	1	0	0	0	0	4	0	2	0	2	0	6
hsa-miR-1199-5p	1	0	0	3	3	0	0	0	2	2	0	0	1	0	1	0
hsa-miR-4750-5p	10	49	18	20	19	7	12	15	12	31	13	9	13	6	7	21
hsa-miR-3621	0	4	2	4	1	2	2	1	1	5	1	1	4	0	0	2
hsa-miR-942-5p	169	913	307	800	203	67	186	88	199	1100	279	328	212	161	199	1132
hsa-miR-6740-3p	0	0	1	1	0	0	0	1	0	6	0	0	0	0	0	4
hsa-miR-7110-3p	0	4	1	1	1	0	0	0	0	2	0	0	1	3	0	1
hsa-miR-6873-3p	15	32	18	15	9	3	8	4	9	64	15	11	14	8	9	50
hsa-miR-525-5p	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0
hsa-miR-5684	25	70	34	93	74	21	18	18	13	91	26	56	41	21	20	71
hsa-miR-3183	0	1	0	0	3	2	1	2	0	2	0	2	0	0	0	1
hsa-miR-4315	6	6	0	5	3	4	1	4	5	5	8	4	6	2	0	2
hsa-miR-4768-5p	0	2	0	3	0	0	0	0	0	4	0	1	0	0	0	1
hsa-miR-3622b-3p	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
hsa-miR-610	1	2	0	1	1	1	0	0	0	4	1	0	1	0	0	2
hsa-miR-6719-3p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-155-5p	50387	36979	44493	33978	38197	37862	66218	70724	36067	44851	40928	68108	47847	53813	37710	55275
hsa-miR-4509	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-510-5p	0	0	0	0	0	1	0	1	1	0	0	0	0	0	2	1
hsa-miR-934	0	0	1	2	2	0	2	0	0	0	1	2	0	1	1	3
hsa-miR-4779	1	1	1	5	3	1	3	2	0	2	3	2	1	3	0	3
hsa-miR-4498	0	9	7	4	8	3	5	0	5	5	6	3	3	3	1	5
hsa-miR-664a-5p	989	480	464	362	605	543	1179	1080	480	520	904	1173	639	636	605	590
