sample	raw_reads	passed_fastp	failed_fastp	mature_miRNA_mapped	hairpin_miRNA_mapped	RNAcentral_matched	candidate_shortRNA	mature_hairpin_unmapped	not_tRNA	tRNA_matched	cell_type	replicate
hsa-miR-198				3207.0							hsa-miR-198	
hsa-miR-199a-3p				112335.0							hsa-miR-199a-3p	
hsa-miR-199a-5p				7016.0							hsa-miR-199a-5p	
hsa-miR-199b-3p				112335.0							hsa-miR-199b-3p	
hsa-miR-199b-5p				54669.0							hsa-miR-199b-5p	
hsa-miR-19a-3p				1466.0							hsa-miR-19a-3p	
hsa-miR-19a-5p				1699.0							hsa-miR-19a-5p	
hsa-miR-19b-1-5p				1368.0							hsa-miR-19b-1-5p	
hsa-miR-19b-2-5p				1004.0							hsa-miR-19b-2-5p	
hsa-miR-19b-3p				5091.0							hsa-miR-19b-3p	
hsa-miR-200a-3p				32868.0							hsa-miR-200a-3p	
hsa-miR-200a-5p				2102.0							hsa-miR-200a-5p	
hsa-miR-200b-3p				19682.0							hsa-miR-200b-3p	
hsa-miR-200b-5p				6165.0							hsa-miR-200b-5p	
hsa-miR-200c-3p				66973.0							hsa-miR-200c-3p	
hsa-miR-200c-5p				2468.0							hsa-miR-200c-5p	
hsa-miR-202-3p				5275.0							hsa-miR-202-3p	
hsa-miR-202-5p				143.0							hsa-miR-202-5p	
hsa-miR-203a-3p				1607.0							hsa-miR-203a-3p	
hsa-miR-203a-5p				4126.0							hsa-miR-203a-5p	
hsa-miR-203b-3p				4066.0							hsa-miR-203b-3p	
hsa-miR-203b-5p				1560.0							hsa-miR-203b-5p	
hsa-miR-204-3p				1015.0							hsa-miR-204-3p	
hsa-miR-204-5p				950.0							hsa-miR-204-5p	
hsa-miR-205-3p				2627.0							hsa-miR-205-3p	
hsa-miR-205-5p				3228.0							hsa-miR-205-5p	
hsa-miR-2052				1282.0							hsa-miR-2052	
hsa-miR-2053				169.0							hsa-miR-2053	
hsa-miR-2054				715.0							hsa-miR-2054	
hsa-miR-206				1207.0							hsa-miR-206	
hsa-miR-208a-3p				399.0							hsa-miR-208a-3p	
hsa-miR-208a-5p				13636.0							hsa-miR-208a-5p	
hsa-miR-208b-3p				3493.0							hsa-miR-208b-3p	
hsa-miR-208b-5p				382.0							hsa-miR-208b-5p	
hsa-miR-20a-3p				3864.0							hsa-miR-20a-3p	
hsa-miR-20a-5p				211076.0							hsa-miR-20a-5p	
hsa-miR-20b-3p				2471.0							hsa-miR-20b-3p	
hsa-miR-20b-5p				20717.0							hsa-miR-20b-5p	
hsa-miR-21-3p				17652.0							hsa-miR-21-3p	
hsa-miR-21-5p				29496280.0							hsa-miR-21-5p	
hsa-miR-210-3p				6979.0							hsa-miR-210-3p	
hsa-miR-210-5p				7571.0							hsa-miR-210-5p	
hsa-miR-211-3p				2915.0							hsa-miR-211-3p	
hsa-miR-211-5p				20989.0							hsa-miR-211-5p	
hsa-miR-2110				11512.0							hsa-miR-2110	
hsa-miR-2113				1888.0							hsa-miR-2113	
hsa-miR-2114-3p				2954.0							hsa-miR-2114-3p	
hsa-miR-2114-5p				1497.0							hsa-miR-2114-5p	
hsa-miR-2115-3p				13078.0							hsa-miR-2115-3p	
hsa-miR-2115-5p				2517.0							hsa-miR-2115-5p	
hsa-miR-2116-3p				1510.0							hsa-miR-2116-3p	
hsa-miR-2116-5p				3010.0							hsa-miR-2116-5p	
hsa-miR-2117				4425.0							hsa-miR-2117	
hsa-miR-212-3p				5475.0							hsa-miR-212-3p	
hsa-miR-212-5p				3300.0							hsa-miR-212-5p	
hsa-miR-214-3p				2891.0							hsa-miR-214-3p	
hsa-miR-214-5p				1812.0							hsa-miR-214-5p	
hsa-miR-215-3p				508.0							hsa-miR-215-3p	
hsa-miR-215-5p				37889.0							hsa-miR-215-5p	
hsa-miR-216a-3p				5376.0							hsa-miR-216a-3p	
hsa-miR-216a-5p				2108.0							hsa-miR-216a-5p	
hsa-miR-216b-3p				1269.0							hsa-miR-216b-3p	
hsa-miR-216b-5p				2558.0							hsa-miR-216b-5p	
hsa-miR-217-3p				9812.0							hsa-miR-217-3p	
hsa-miR-217-5p				1651.0							hsa-miR-217-5p	
hsa-miR-218-1-3p				3170.0							hsa-miR-218-1-3p	
hsa-miR-218-2-3p				2088.0							hsa-miR-218-2-3p	
hsa-miR-218-5p				1034.0							hsa-miR-218-5p	
hsa-miR-219a-1-3p				5158.0							hsa-miR-219a-1-3p	
hsa-miR-219a-2-3p				17123.0							hsa-miR-219a-2-3p	
hsa-miR-219a-5p				1856.0							hsa-miR-219a-5p	
hsa-miR-219b-3p				1906.0							hsa-miR-219b-3p	
hsa-miR-219b-5p				17066.0							hsa-miR-219b-5p	
hsa-miR-22-3p				184897.0							hsa-miR-22-3p	
hsa-miR-22-5p				9766.0							hsa-miR-22-5p	
hsa-miR-221-3p				659182.0							hsa-miR-221-3p	
hsa-miR-221-5p				26161.0							hsa-miR-221-5p	
hsa-miR-222-3p				233431.0							hsa-miR-222-3p	
hsa-miR-222-5p				2612.0							hsa-miR-222-5p	
hsa-miR-223-3p				676956.0							hsa-miR-223-3p	
hsa-miR-223-5p				63775.0							hsa-miR-223-5p	
hsa-miR-224-3p				1630.0							hsa-miR-224-3p	
hsa-miR-224-5p				3148.0							hsa-miR-224-5p	
hsa-miR-2276-3p				3179.0							hsa-miR-2276-3p	
hsa-miR-2276-5p				2579.0							hsa-miR-2276-5p	
hsa-miR-2277-3p				5534.0							hsa-miR-2277-3p	
hsa-miR-2277-5p				13251.0							hsa-miR-2277-5p	
hsa-miR-2278				1324.0							hsa-miR-2278	
hsa-miR-2355-3p				8351.0							hsa-miR-2355-3p	
hsa-miR-2355-5p				2785.0							hsa-miR-2355-5p	
hsa-miR-2392				4170.0							hsa-miR-2392	
hsa-miR-23a-3p				187876.0							hsa-miR-23a-3p	
hsa-miR-23a-5p				4973.0							hsa-miR-23a-5p	
hsa-miR-23b-3p				44798.0							hsa-miR-23b-3p	
hsa-miR-23b-5p				3579.0							hsa-miR-23b-5p	
hsa-miR-23c				943.0							hsa-miR-23c	
hsa-miR-24-1-5p				2880.0							hsa-miR-24-1-5p	
hsa-miR-24-2-5p				26588.0							hsa-miR-24-2-5p	
hsa-miR-24-3p				281737.0							hsa-miR-24-3p	
hsa-miR-2467-3p				11781.0							hsa-miR-2467-3p	
hsa-miR-2467-5p				2003.0							hsa-miR-2467-5p	
hsa-miR-25-3p				669976.0							hsa-miR-25-3p	
hsa-miR-25-5p				9812.0							hsa-miR-25-5p	
hsa-miR-2681-3p				1065.0							hsa-miR-2681-3p	
hsa-miR-2681-5p				7574.0							hsa-miR-2681-5p	
hsa-miR-2682-3p				6810.0							hsa-miR-2682-3p	
hsa-miR-2682-5p				2507.0							hsa-miR-2682-5p	
hsa-miR-26a-1-3p				294.0							hsa-miR-26a-1-3p	
hsa-miR-26a-2-3p				1700.0							hsa-miR-26a-2-3p	
hsa-miR-26a-5p				47946609.0							hsa-miR-26a-5p	
hsa-miR-26b-3p				7580.0							hsa-miR-26b-3p	
hsa-miR-26b-5p				5389838.0							hsa-miR-26b-5p	
hsa-miR-27a-3p				607954.0							hsa-miR-27a-3p	
hsa-miR-27a-5p				49360.0							hsa-miR-27a-5p	
hsa-miR-27b-3p				383127.0							hsa-miR-27b-3p	
hsa-miR-27b-5p				5005.0							hsa-miR-27b-5p	
hsa-miR-28-3p				266603.0							hsa-miR-28-3p	
hsa-miR-28-5p				11001.0							hsa-miR-28-5p	
hsa-miR-2861				8570.0							hsa-miR-2861	
hsa-miR-2909				1596.0							hsa-miR-2909	
hsa-miR-296-3p				6172.0							hsa-miR-296-3p	
hsa-miR-296-5p				22509.0							hsa-miR-296-5p	
hsa-miR-297				647.0							hsa-miR-297	
hsa-miR-298				4591.0							hsa-miR-298	
hsa-miR-299-3p				1096.0							hsa-miR-299-3p	
hsa-miR-299-5p				2050.0							hsa-miR-299-5p	
hsa-miR-29a-3p				628730.0							hsa-miR-29a-3p	
hsa-miR-29a-5p				2528.0							hsa-miR-29a-5p	
hsa-miR-29b-1-5p				5778.0							hsa-miR-29b-1-5p	
hsa-miR-29b-2-5p				5294.0							hsa-miR-29b-2-5p	
hsa-miR-29b-3p				91371.0							hsa-miR-29b-3p	
hsa-miR-29c-3p				54369.0							hsa-miR-29c-3p	
hsa-miR-29c-5p				3795.0							hsa-miR-29c-5p	
hsa-miR-300				4975.0							hsa-miR-300	
hsa-miR-301a-3p				498.0							hsa-miR-301a-3p	
hsa-miR-301a-5p				1441.0							hsa-miR-301a-5p	
hsa-miR-301b-3p				1307.0							hsa-miR-301b-3p	
hsa-miR-301b-5p				3117.0							hsa-miR-301b-5p	
hsa-miR-302a-3p				583.0							hsa-miR-302a-3p	
hsa-miR-302a-5p				967.0							hsa-miR-302a-5p	
hsa-miR-302b-3p				1662.0							hsa-miR-302b-3p	
hsa-miR-302b-5p				331.0							hsa-miR-302b-5p	
hsa-miR-302c-3p				4424.0							hsa-miR-302c-3p	
hsa-miR-302c-5p				2127.0							hsa-miR-302c-5p	
hsa-miR-302d-3p				550.0							hsa-miR-302d-3p	
hsa-miR-302d-5p				1041.0							hsa-miR-302d-5p	
hsa-miR-302e				270.0							hsa-miR-302e	
hsa-miR-302f				326.0							hsa-miR-302f	
hsa-miR-3059-3p				861.0							hsa-miR-3059-3p	
hsa-miR-3059-5p				4846.0							hsa-miR-3059-5p	
hsa-miR-3064-3p				10494.0							hsa-miR-3064-3p	
hsa-miR-3064-5p				2835.0							hsa-miR-3064-5p	
hsa-miR-3065-3p				1235.0							hsa-miR-3065-3p	
hsa-miR-3065-5p				11562.0							hsa-miR-3065-5p	
hsa-miR-3074-3p				3637.0							hsa-miR-3074-3p	
hsa-miR-3074-5p				240448.0							hsa-miR-3074-5p	
hsa-miR-3085-3p				4765.0							hsa-miR-3085-3p	
hsa-miR-3085-5p				8727.0							hsa-miR-3085-5p	
hsa-miR-30a-3p				4886.0							hsa-miR-30a-3p	
hsa-miR-30a-5p				28196.0							hsa-miR-30a-5p	
hsa-miR-30b-3p				9274.0							hsa-miR-30b-3p	
hsa-miR-30b-5p				139722.0							hsa-miR-30b-5p	
hsa-miR-30c-1-3p				6987.0							hsa-miR-30c-1-3p	
hsa-miR-30c-2-3p				1727.0							hsa-miR-30c-2-3p	
hsa-miR-30c-5p				1679814.0							hsa-miR-30c-5p	
hsa-miR-30d-3p				14221.0							hsa-miR-30d-3p	
hsa-miR-30d-5p				3508186.0							hsa-miR-30d-5p	
hsa-miR-30e-3p				419362.0							hsa-miR-30e-3p	
hsa-miR-30e-5p				5594079.0							hsa-miR-30e-5p	
hsa-miR-31-3p				487.0							hsa-miR-31-3p	
hsa-miR-31-5p				7835.0							hsa-miR-31-5p	
hsa-miR-3115				497.0							hsa-miR-3115	
hsa-miR-3116				1459.0							hsa-miR-3116	
hsa-miR-3117-3p				1184.0							hsa-miR-3117-3p	
hsa-miR-3117-5p				2594.0							hsa-miR-3117-5p	
hsa-miR-3118				985.0							hsa-miR-3118	
hsa-miR-3119				770.0							hsa-miR-3119	
hsa-miR-3120-3p				1586.0							hsa-miR-3120-3p	
hsa-miR-3120-5p				2593.0							hsa-miR-3120-5p	
hsa-miR-3121-3p				947.0							hsa-miR-3121-3p	
hsa-miR-3121-5p				619.0							hsa-miR-3121-5p	
hsa-miR-3122				2345.0							hsa-miR-3122	
hsa-miR-3123				203.0							hsa-miR-3123	
hsa-miR-3124-3p				7502.0							hsa-miR-3124-3p	
hsa-miR-3124-5p				5111.0							hsa-miR-3124-5p	
hsa-miR-3125				5841.0							hsa-miR-3125	
hsa-miR-3126-3p				5351.0							hsa-miR-3126-3p	
hsa-miR-3126-5p				9857.0							hsa-miR-3126-5p	
hsa-miR-3127-3p				7044.0							hsa-miR-3127-3p	
hsa-miR-3127-5p				4586.0							hsa-miR-3127-5p	
hsa-miR-3128				1252.0							hsa-miR-3128	
hsa-miR-3129-3p				1882.0							hsa-miR-3129-3p	
hsa-miR-3129-5p				1759.0							hsa-miR-3129-5p	
hsa-miR-3130-3p				5185.0							hsa-miR-3130-3p	
hsa-miR-3130-5p				5197.0							hsa-miR-3130-5p	
hsa-miR-3131				4474.0							hsa-miR-3131	
hsa-miR-3132				9277.0							hsa-miR-3132	
hsa-miR-3133				431.0							hsa-miR-3133	
hsa-miR-3134				1382.0							hsa-miR-3134	
hsa-miR-3135a				10558.0							hsa-miR-3135a	
hsa-miR-3135b				85741.0							hsa-miR-3135b	
hsa-miR-3136-3p				20290.0							hsa-miR-3136-3p	
hsa-miR-3136-5p				1171.0							hsa-miR-3136-5p	
hsa-miR-3137				3138.0							hsa-miR-3137	
hsa-miR-3138				11383.0							hsa-miR-3138	
hsa-miR-3139				1649.0							hsa-miR-3139	
hsa-miR-3140-3p				1855.0							hsa-miR-3140-3p	
hsa-miR-3140-5p				394.0							hsa-miR-3140-5p	
hsa-miR-3141				25584.0							hsa-miR-3141	
hsa-miR-3142				58484.0							hsa-miR-3142	
hsa-miR-3143				705.0							hsa-miR-3143	
hsa-miR-3144-3p				1404.0							hsa-miR-3144-3p	
hsa-miR-3144-5p				1239.0							hsa-miR-3144-5p	
hsa-miR-3145-3p				4457.0							hsa-miR-3145-3p	
hsa-miR-3145-5p				1423.0							hsa-miR-3145-5p	
hsa-miR-3146				1191.0							hsa-miR-3146	
hsa-miR-3147				7557.0							hsa-miR-3147	
hsa-miR-3148				983.0							hsa-miR-3148	
hsa-miR-3149				1810.0							hsa-miR-3149	
hsa-miR-3150a-3p				1282.0							hsa-miR-3150a-3p	
hsa-miR-3150a-5p				3624.0							hsa-miR-3150a-5p	
hsa-miR-3150b-3p				3431.0							hsa-miR-3150b-3p	
hsa-miR-3150b-5p				1442.0							hsa-miR-3150b-5p	
hsa-miR-3151-3p				6820.0							hsa-miR-3151-3p	
hsa-miR-3151-5p				1413.0							hsa-miR-3151-5p	
hsa-miR-3152-3p				1210.0							hsa-miR-3152-3p	
hsa-miR-3152-5p				1647.0							hsa-miR-3152-5p	
hsa-miR-3153				3366.0							hsa-miR-3153	
hsa-miR-3154				4612.0							hsa-miR-3154	
hsa-miR-3155a				5316.0							hsa-miR-3155a	
hsa-miR-3155b				4148.0							hsa-miR-3155b	
hsa-miR-3156-3p				2208.0							hsa-miR-3156-3p	
hsa-miR-3156-5p				6734.0							hsa-miR-3156-5p	
hsa-miR-3157-3p				3113.0							hsa-miR-3157-3p	
hsa-miR-3157-5p				2897.0							hsa-miR-3157-5p	
hsa-miR-3158-3p				3060.0							hsa-miR-3158-3p	
hsa-miR-3158-5p				2695.0							hsa-miR-3158-5p	
hsa-miR-3159				1098.0							hsa-miR-3159	
hsa-miR-3160-3p				2384.0							hsa-miR-3160-3p	
hsa-miR-3160-5p				3202.0							hsa-miR-3160-5p	
hsa-miR-3161				2607.0							hsa-miR-3161	
hsa-miR-3162-3p				8698.0							hsa-miR-3162-3p	
hsa-miR-3162-5p				5188.0							hsa-miR-3162-5p	
hsa-miR-3163				18515.0							hsa-miR-3163	
hsa-miR-3164				1911.0							hsa-miR-3164	
hsa-miR-3165				1296.0							hsa-miR-3165	
hsa-miR-3166				1046.0							hsa-miR-3166	
hsa-miR-3167				63333.0							hsa-miR-3167	
hsa-miR-3168				2469.0							hsa-miR-3168	
hsa-miR-3169				982.0							hsa-miR-3169	
hsa-miR-3170				14326.0							hsa-miR-3170	
hsa-miR-3171				464.0							hsa-miR-3171	
hsa-miR-3173-3p				2137.0							hsa-miR-3173-3p	
hsa-miR-3173-5p				3372.0							hsa-miR-3173-5p	
hsa-miR-3174				21124.0							hsa-miR-3174	
hsa-miR-3175				2654.0							hsa-miR-3175	
hsa-miR-3176				3785.0							hsa-miR-3176	
hsa-miR-3177-3p				7952.0							hsa-miR-3177-3p	
hsa-miR-3177-5p				3025.0							hsa-miR-3177-5p	
hsa-miR-3178				11601.0							hsa-miR-3178	
hsa-miR-3179				1704.0							hsa-miR-3179	
hsa-miR-3180				6834.0							hsa-miR-3180	
hsa-miR-3180-3p				8350.0							hsa-miR-3180-3p	
hsa-miR-3180-5p				13792.0							hsa-miR-3180-5p	
hsa-miR-3181				29473.0							hsa-miR-3181	
hsa-miR-3182				4866.0							hsa-miR-3182	
hsa-miR-3183				4465.0							hsa-miR-3183	
hsa-miR-3184-3p				1324061.0							hsa-miR-3184-3p	
hsa-miR-3184-5p				198114.0							hsa-miR-3184-5p	
hsa-miR-3185				6387.0							hsa-miR-3185	
hsa-miR-3186-3p				2703.0							hsa-miR-3186-3p	
hsa-miR-3186-5p				4101.0							hsa-miR-3186-5p	
hsa-miR-3187-3p				6133.0							hsa-miR-3187-3p	
hsa-miR-3187-5p				4806.0							hsa-miR-3187-5p	
hsa-miR-3188				22359.0							hsa-miR-3188	
hsa-miR-3189-3p				27614.0							hsa-miR-3189-3p	
hsa-miR-3189-5p				3701.0							hsa-miR-3189-5p	
hsa-miR-3190-3p				2867.0							hsa-miR-3190-3p	
hsa-miR-3190-5p				9888.0							hsa-miR-3190-5p	
hsa-miR-3191-3p				10876.0							hsa-miR-3191-3p	
hsa-miR-3191-5p				3822.0							hsa-miR-3191-5p	
hsa-miR-3192-3p				3098.0							hsa-miR-3192-3p	
hsa-miR-3192-5p				4022.0							hsa-miR-3192-5p	
hsa-miR-3193				8609.0							hsa-miR-3193	
hsa-miR-3194-3p				6102.0							hsa-miR-3194-3p	
hsa-miR-3194-5p				4597.0							hsa-miR-3194-5p	
hsa-miR-3195				49022.0							hsa-miR-3195	
hsa-miR-3196				11261.0							hsa-miR-3196	
hsa-miR-3197				5313.0							hsa-miR-3197	
hsa-miR-3198				4989.0							hsa-miR-3198	
hsa-miR-3199				1963.0							hsa-miR-3199	
hsa-miR-32-3p				6211.0							hsa-miR-32-3p	
hsa-miR-32-5p				38366.0							hsa-miR-32-5p	
hsa-miR-3200-3p				3590.0							hsa-miR-3200-3p	
hsa-miR-3200-5p				5440.0							hsa-miR-3200-5p	
hsa-miR-3201				670.0							hsa-miR-3201	
hsa-miR-3202				1622.0							hsa-miR-3202	
hsa-miR-320a-3p				572301.0							hsa-miR-320a-3p	
hsa-miR-320a-5p				4580.0							hsa-miR-320a-5p	
hsa-miR-320b				501101.0							hsa-miR-320b	
hsa-miR-320c				15392.0							hsa-miR-320c	
hsa-miR-320d				7377.0							hsa-miR-320d	
hsa-miR-320e				1427.0							hsa-miR-320e	
hsa-miR-323a-3p				4679.0							hsa-miR-323a-3p	
hsa-miR-323a-5p				5632.0							hsa-miR-323a-5p	
hsa-miR-323b-3p				4706.0							hsa-miR-323b-3p	
hsa-miR-323b-5p				2369.0							hsa-miR-323b-5p	
hsa-miR-324-3p				7448.0							hsa-miR-324-3p	
hsa-miR-324-5p				2681.0							hsa-miR-324-5p	
hsa-miR-325				1796.0							hsa-miR-325	
hsa-miR-326				4570.0							hsa-miR-326	
hsa-miR-328-3p				6115.0							hsa-miR-328-3p	
hsa-miR-328-5p				9103.0							hsa-miR-328-5p	
hsa-miR-329-3p				583.0							hsa-miR-329-3p	
hsa-miR-329-5p				1968.0							hsa-miR-329-5p	
hsa-miR-330-3p				30972.0							hsa-miR-330-3p	
hsa-miR-330-5p				15755.0							hsa-miR-330-5p	
hsa-miR-331-3p				6004.0							hsa-miR-331-3p	
hsa-miR-331-5p				3241.0							hsa-miR-331-5p	
hsa-miR-335-3p				12154.0							hsa-miR-335-3p	
hsa-miR-335-5p				1298.0							hsa-miR-335-5p	
hsa-miR-337-3p				4582.0							hsa-miR-337-3p	
hsa-miR-337-5p				1137.0							hsa-miR-337-5p	
hsa-miR-338-3p				11298.0							hsa-miR-338-3p	
hsa-miR-338-5p				11093.0							hsa-miR-338-5p	
hsa-miR-339-3p				62054.0							hsa-miR-339-3p	
hsa-miR-339-5p				36129.0							hsa-miR-339-5p	
hsa-miR-33a-3p				2775.0							hsa-miR-33a-3p	
hsa-miR-33a-5p				2453.0							hsa-miR-33a-5p	
hsa-miR-33b-3p				3958.0							hsa-miR-33b-3p	
hsa-miR-33b-5p				3771.0							hsa-miR-33b-5p	
hsa-miR-340-3p				32441.0							hsa-miR-340-3p	
hsa-miR-340-5p				691130.0							hsa-miR-340-5p	
hsa-miR-342-3p				566866.0							hsa-miR-342-3p	
hsa-miR-342-5p				56180.0							hsa-miR-342-5p	
hsa-miR-345-3p				4241.0							hsa-miR-345-3p	
hsa-miR-345-5p				28038.0							hsa-miR-345-5p	
hsa-miR-346				3425.0							hsa-miR-346	
hsa-miR-34a-3p				1746.0							hsa-miR-34a-3p	
hsa-miR-34a-5p				1843.0							hsa-miR-34a-5p	
hsa-miR-34b-3p				3383.0							hsa-miR-34b-3p	
hsa-miR-34b-5p				2646.0							hsa-miR-34b-5p	
hsa-miR-34c-3p				2279.0							hsa-miR-34c-3p	
hsa-miR-34c-5p				4212.0							hsa-miR-34c-5p	
hsa-miR-3529-3p				261433.0							hsa-miR-3529-3p	
hsa-miR-3529-5p				1851.0							hsa-miR-3529-5p	
hsa-miR-3605-3p				4318.0							hsa-miR-3605-3p	
hsa-miR-3605-5p				1563.0							hsa-miR-3605-5p	
hsa-miR-3606-3p				476.0							hsa-miR-3606-3p	
hsa-miR-3606-5p				746.0							hsa-miR-3606-5p	
hsa-miR-3609				3916.0							hsa-miR-3609	
hsa-miR-361-3p				262561.0							hsa-miR-361-3p	
hsa-miR-361-5p				43798.0							hsa-miR-361-5p	
hsa-miR-3610				8448.0							hsa-miR-3610	
hsa-miR-3611				2782.0							hsa-miR-3611	
hsa-miR-3612				56902.0							hsa-miR-3612	
hsa-miR-3613-3p				4318.0							hsa-miR-3613-3p	
hsa-miR-3613-5p				98667.0							hsa-miR-3613-5p	
hsa-miR-3614-3p				4038.0							hsa-miR-3614-3p	
hsa-miR-3614-5p				9805.0							hsa-miR-3614-5p	
hsa-miR-3615				27890.0							hsa-miR-3615	
hsa-miR-3616-3p				2775.0							hsa-miR-3616-3p	
hsa-miR-3616-5p				993.0							hsa-miR-3616-5p	
hsa-miR-3617-3p				7970.0							hsa-miR-3617-3p	
hsa-miR-3617-5p				550.0							hsa-miR-3617-5p	
hsa-miR-3618				2129.0							hsa-miR-3618	
hsa-miR-3619-3p				2626.0							hsa-miR-3619-3p	
hsa-miR-3619-5p				5880.0							hsa-miR-3619-5p	
hsa-miR-362-3p				924.0							hsa-miR-362-3p	
hsa-miR-362-5p				4829.0							hsa-miR-362-5p	
hsa-miR-3620-3p				3390.0							hsa-miR-3620-3p	
hsa-miR-3620-5p				23460.0							hsa-miR-3620-5p	
hsa-miR-3621				20790.0							hsa-miR-3621	
hsa-miR-3622a-3p				1730.0							hsa-miR-3622a-3p	
hsa-miR-3622a-5p				20353.0							hsa-miR-3622a-5p	
hsa-miR-3622b-3p				19899.0							hsa-miR-3622b-3p	
hsa-miR-3622b-5p				1300.0							hsa-miR-3622b-5p	
hsa-miR-363-3p				675618.0							hsa-miR-363-3p	
hsa-miR-363-5p				1268.0							hsa-miR-363-5p	
hsa-miR-3646				3350.0							hsa-miR-3646	
hsa-miR-3648				6769.0							hsa-miR-3648	
hsa-miR-3649				1799.0							hsa-miR-3649	
hsa-miR-3650				3169.0							hsa-miR-3650	
hsa-miR-3651				115909.0							hsa-miR-3651	
hsa-miR-3652				12511.0							hsa-miR-3652	
hsa-miR-3654				2450.0							hsa-miR-3654	
hsa-miR-3655				2653.0							hsa-miR-3655	
hsa-miR-3657				730.0							hsa-miR-3657	
hsa-miR-3658				56363.0							hsa-miR-3658	
hsa-miR-3659				5414.0							hsa-miR-3659	
hsa-miR-365a-3p				1362.0							hsa-miR-365a-3p	
hsa-miR-365a-5p				2733.0							hsa-miR-365a-5p	
hsa-miR-365b-3p				1363.0							hsa-miR-365b-3p	
hsa-miR-365b-5p				3195.0							hsa-miR-365b-5p	
hsa-miR-3660				1648.0							hsa-miR-3660	
hsa-miR-3661				8695.0							hsa-miR-3661	
hsa-miR-3662				21894.0							hsa-miR-3662	
hsa-miR-3663-3p				26910.0							hsa-miR-3663-3p	
hsa-miR-3663-5p				24374.0							hsa-miR-3663-5p	
hsa-miR-3664-3p				163277.0							hsa-miR-3664-3p	
hsa-miR-3664-5p				20151.0							hsa-miR-3664-5p	
hsa-miR-3665				10181.0							hsa-miR-3665	
hsa-miR-3666				838.0							hsa-miR-3666	
hsa-miR-3667-3p				2468.0							hsa-miR-3667-3p	
hsa-miR-3667-5p				916.0							hsa-miR-3667-5p	
hsa-miR-3668				609.0							hsa-miR-3668	
hsa-miR-367-3p				338.0							hsa-miR-367-3p	
hsa-miR-367-5p				396.0							hsa-miR-367-5p	
hsa-miR-3670				3544.0							hsa-miR-3670	
hsa-miR-3671				923.0							hsa-miR-3671	
hsa-miR-3672				471.0							hsa-miR-3672	
hsa-miR-3674				782.0							hsa-miR-3674	
hsa-miR-3675-3p				2223.0							hsa-miR-3675-3p	
hsa-miR-3675-5p				3004.0							hsa-miR-3675-5p	
hsa-miR-3677-3p				5929.0							hsa-miR-3677-3p	
hsa-miR-3677-5p				12654.0							hsa-miR-3677-5p	
hsa-miR-3678-3p				1233.0							hsa-miR-3678-3p	
hsa-miR-3678-5p				919.0							hsa-miR-3678-5p	
hsa-miR-3679-3p				4520.0							hsa-miR-3679-3p	
hsa-miR-3679-5p				3938.0							hsa-miR-3679-5p	
hsa-miR-3680-3p				3087.0							hsa-miR-3680-3p	
hsa-miR-3680-5p				1178.0							hsa-miR-3680-5p	
hsa-miR-3681-3p				2229.0							hsa-miR-3681-3p	
hsa-miR-3681-5p				1640.0							hsa-miR-3681-5p	
hsa-miR-3682-3p				2481.0							hsa-miR-3682-3p	
hsa-miR-3682-5p				3257.0							hsa-miR-3682-5p	
hsa-miR-3683				568.0							hsa-miR-3683	
hsa-miR-3684				709.0							hsa-miR-3684	
hsa-miR-3685				2813.0							hsa-miR-3685	
hsa-miR-3686				1379.0							hsa-miR-3686	
hsa-miR-3688-3p				839.0							hsa-miR-3688-3p	
hsa-miR-3688-5p				586.0							hsa-miR-3688-5p	
hsa-miR-3689a-3p				691.0							hsa-miR-3689a-3p	
hsa-miR-3689a-5p				1533.0							hsa-miR-3689a-5p	
hsa-miR-3689b-3p				923.0							hsa-miR-3689b-3p	
hsa-miR-3689b-5p				1533.0							hsa-miR-3689b-5p	
hsa-miR-3689c				923.0							hsa-miR-3689c	
hsa-miR-3689d				1079.0							hsa-miR-3689d	
hsa-miR-3689e				1533.0							hsa-miR-3689e	
hsa-miR-3689f				1009.0							hsa-miR-3689f	
hsa-miR-369-3p				4767.0							hsa-miR-369-3p	
hsa-miR-369-5p				1791.0							hsa-miR-369-5p	
hsa-miR-3690				3174.0							hsa-miR-3690	
hsa-miR-3691-3p				2081.0							hsa-miR-3691-3p	
hsa-miR-3691-5p				4202.0							hsa-miR-3691-5p	
hsa-miR-3692-3p				2133.0							hsa-miR-3692-3p	
hsa-miR-3692-5p				7292.0							hsa-miR-3692-5p	
hsa-miR-370-3p				9506.0							hsa-miR-370-3p	
hsa-miR-370-5p				2265.0							hsa-miR-370-5p	
hsa-miR-3713				16999.0							hsa-miR-3713	
hsa-miR-3714				1634.0							hsa-miR-3714	
hsa-miR-371a-3p				13234.0							hsa-miR-371a-3p	
hsa-miR-371a-5p				3333.0							hsa-miR-371a-5p	
hsa-miR-371b-3p				3771.0							hsa-miR-371b-3p	
hsa-miR-371b-5p				12868.0							hsa-miR-371b-5p	
hsa-miR-372-3p				3725.0							hsa-miR-372-3p	
hsa-miR-372-5p				964.0							hsa-miR-372-5p	
hsa-miR-373-3p				2254.0							hsa-miR-373-3p	
hsa-miR-373-5p				1661.0							hsa-miR-373-5p	
hsa-miR-374a-3p				73330.0							hsa-miR-374a-3p	
hsa-miR-374a-5p				177316.0							hsa-miR-374a-5p	
