CD4_S2	CD14_S1	CD19_S2	CD4_S3	CD4_S4	CD14_S3	CD56_S4	CD56_S1	CD14_S2	CD56_S2	CD19_S1	CD56_S3	CD14_S4	CD19_S3	CD4_S1	CD19_S4
hsa-mir-3648-2	500.042162391193	474.121125249824	627.291805853576	525.087885622542	513.914065622894	385.004172118913	551.649003598257	691.273713522391	628.326492136498	644.175511071724	621.137222442618	514.729782712161	407.389124070025	451.95548946762	1130.59290023546	813.896097441534
hsa-mir-4773-1	787.711205620104	371.837985301069	943.83035874148	625.496540866977	394.031760983919	397.423661542104	515.652331259056	586.618729005057	377.407238320941	641.44595382142	972.419029756804	416.122544644697	432.274885042629	658.212715705346	924.898868418121	371.311355188722
hsa-mir-4773-2	787.711205620104	371.837985301069	943.83035874148	625.496540866977	394.031760983919	397.423661542104	515.652331259056	586.618729005057	377.407238320941	641.44595382142	972.419029756804	416.122544644697	432.274885042629	658.212715705346	924.898868418121	371.311355188722
hsa-mir-4430	293.461037387882	508.092420828472	211.576682870244	674.877846724897	924.673590044809	1036.02579510875	579.546424661138	422.475648025238	565.596678682608	316.628641035254	273.509163495741	673.15874520722	888.513836207023	439.024001929204	367.931578039472	455.230020602892
hsa-mir-16-2	640.015354566334	253.307703988613	923.168573304933	446.077796249871	595.694242430877	617.368812939901	591.245343171378	530.986342498474	679.230193217932	760.18169420964	519.354232210424	450.306387174751	527.670302104275	578.03749296717	403.421041275563	348.319940006758
hsa-mir-143	106.186559581141	413.932851561567	151.244269395526	116.04606876611	670.039857710861	1231.93322504231	253.776539991368	148.720241156212	1132.22171496282	306.620264450806	99.6951340223025	287.933135156994	1724.95191334175	215.309267514617	405.593865555323	377.059208984213
hsa-mir-4637	1245.27874417884	29.1710038120997	2087.66680050874	956.351290115036	328.979347613932	72.1131643927204	606.543928915539	631.234801351921	64.7865286490988	591.858997107566	831.488735589151	350.384385933055	111.525076951296	669.204480112999	617.806370211948	809.297814405141
hsa-mir-4745	290.565040308396	865.529530829896	242.982596733796	186.825940495795	216.531604502955	321.704838929747	271.774876160968	957.317700479614	892.100215922114	479.947149845105	247.410960872102	216.93592374842	288.490488312031	195.265461830073	1920.77666330842	227.615010301446
hsa-mir-1321	1763.66222140678	26.58623132242	931.433287479552	1370.33123755726	379.162637927922	71.7125357016497	1223.88685953284	412.010149573505	88.9529321928102	434.454529006706	449.933013231543	687.621140123781	91.7086376582975	793.993334858708	795.977961152322	735.725285822855
hsa-mir-6503	58.8852739495421	942.703452307477	86.7794988334986	79.8331111369695	407.971563848916	1308.05267634573	113.389517868484	166.346343811763	1306.01414895802	171.507180560763	71.509075188772	186.038989153948	1300.51143453123	98.9258796688781	93.4314440297084	149.444198682767
hsa-mir-3135b	397.716932249366	403.593761602848	310.753252965671	413.979947442223	738.809551844847	836.512706955557	509.352913599696	481.412928779737	497.725077240695	364.850819123957	324.661640638074	682.36208742685	861.784685532745	371.780266729444	356.343181880748	436.83688845732
hsa-mir-27a	1231.76409114124	132.561903399289	402.491580303941	788.454850198111	558.521434790884	352.953876833259	974.60990358387	713.857157549816	296.681166908968	925.319907853027	179.555634050639	615.966547128091	245.170830322685	428.032237521551	642.431712049235	536.849544498865
