CD4_S2	CD56_S2	CD4_S3	CD56_S3	CD19_S3	CD19_S2	CD56_S1	CD14_S3	CD14_S1	CD14_S2	CD19_S1	CD14_S4	CD4_S1	CD4_S4	CD56_S4	CD19_S4
hsa-miR-3074-5p	961.479320157754	830.15323023531	879.744083259821	1006.83873219386	396.35646993465	488.633381198403	1029.21855921497	1518.07133626758	1358.25005730236	1608.77840442515	187.610518837401	1751.81418132443	555.321466600401	1368.76303869245	1120.05751861654	622.31169345215
hsa-miR-222-3p	782.765691875644	1502.96961640983	786.11613233248	1152.8402973613	874.600591298177	1228.40794156023	1291.68582469459	881.812484300824	355.398111075816	983.093899254446	1212.52610595183	1095.20204298355	766.446931903226	869.727679102133	1296.88077513272	872.668468872335
hsa-miR-744-5p	98.8882076494344	403.42291673145	170.266959146091	897.980097858345	204.393890768634	143.056035957074	617.393881432462	2274.12054130542	1028.50436769873	2176.45748017164	157.696687614831	2355.24881545618	403.639093470216	1159.10166490916	687.1271084548	373.38701607129
hsa-miR-125a-5p	3781.18323305327	1223.70982563365	3555.03064478751	710.026918849494	319.889448565055	407.108409701463	326.851914392145	116.614273270618	24.9467723378376	162.458815492611	46.7333061363922	174.085773404721	3591.42864336297	2102.92193015134	1197.96164243579	512.300525885818
hsa-miR-20a-5p	1246.52755726772	560.378453687578	761.293399374929	432.698562526332	646.283653201248	851.179725031854	447.822684005882	914.189536595065	1844.64985473128	1389.34997074805	720.923332463934	1049.88219288232	682.078736254058	1036.8374283375	483.982022637301	383.672083808261
hsa-miR-3184-5p	638.404794363317	789.067389708076	797.347711123159	1032.12577215756	664.930620605176	565.584100900944	814.852615742662	1050.09730954907	315.342145508406	874.442751846133	580.215443335884	1488.74877548653	910.668172084845	1323.229359594	1107.85183164214	1074.07352949377
hsa-miR-423-3p	638.10693831618	772.289877102987	798.008392228493	1020.43569794484	655.968512240497	558.57516669985	797.259136097962	1017.19881131744	306.16870676188	846.966495803087	580.328325717856	1434.63056620814	915.259638514731	1302.3549777403	1085.35091304584	1073.42257583953
hsa-miR-181a-3p	151.211586596475	693.978930483213	243.508178823124	1037.6806301168	366.579142142332	184.888306399396	837.499541668287	1355.33279962611	1048.63612241396	1639.90725799773	416.761754240483	1484.10058573256	471.117251895158	671.994523520954	638.410496965651	342.011049936987
hsa-miR-23a-3p	864.378248791141	1329.61787395328	734.394240086328	766.155856736125	310.204589525806	414.338678666802	1392.0060916048	838.390258969163	709.966046699457	1114.53289393655	144.263684160167	861.243158700281	647.560747557946	888.19347843425	1007.65906204354	461.13556866266
hsa-miR-22-3p	679.310358170111	1536.33398806768	665.872171161682	1983.58174141454	319.600348295227	273.86488162592	1534.25124617897	646.213728953276	359.922567290165	696.392251376714	137.772947196779	585.284559854335	779.237445529339	717.413508213615	1577.71771195252	442.257912689739
hsa-miR-374a-5p	1045.67329614844	1027.47965689743	918.252353399292	1030.63342225806	564.034626435086	643.420159660467	1002.89072797361	774.347217022576	518.859657608934	760.121900809889	543.246463240066	676.422280387576	657.563585137342	635.521702479878	1032.70725444319	331.856172930864
hsa-miR-17-5p	576.94716330408	526.918755253566	448.224938461634	564.439895320803	448.033143166466	562.854305475255	470.095280577365	1059.29371971757	1037.30422749178	1273.93879209105	471.961239024773	1052.31695894392	477.676489652139	791.96487197682	517.839536940217	325.346636388477
